,\\Hourly Demand Report,,,
,\\Created at 2021-01-31 07:30:13,,,
,\\For 2020,,,
hour_ending,Date,Hour,Market Demand,Ontario Demand
1556,5/03/2020,21,19308,16998
1557,5/03/2020,22,18953,16542
1558,5/03/2020,23,18703,16010
1559,5/03/2020,24,17383,14954
1560,6/03/2020,1,16041,14341
1561,6/03/2020,2,15736,14028
1562,6/03/2020,3,15484,13705
1563,6/03/2020,4,15141,13432
1564,6/03/2020,5,15721,13720
1565,6/03/2020,6,16686,14323
1566,6/03/2020,7,17391,15452
1567,6/03/2020,8,18805,16600
1568,6/03/2020,9,18870,16705
1569,6/03/2020,10,18899,16720
1570,6/03/2020,11,18897,16801
1571,6/03/2020,12,18667,16667
1572,6/03/2020,13,18556,16485
1573,6/03/2020,14,18492,16378
1574,6/03/2020,15,18466,16279
1575,6/03/2020,16,18822,16294
1576,6/03/2020,17,19532,16938
1577,6/03/2020,18,20034,17384
1578,6/03/2020,19,19622,17602
1579,6/03/2020,20,19379,17530
1580,6/03/2020,21,19277,17248
1581,6/03/2020,22,18540,16645
1582,6/03/2020,23,17941,15719
1583,6/03/2020,24,17137,14847
1584,7/03/2020,1,16747,14208
1585,7/03/2020,2,16506,13878
1586,7/03/2020,3,16206,13785
1587,7/03/2020,4,16365,13772
1588,7/03/2020,5,16423,13998
1589,7/03/2020,6,16637,14294
1590,7/03/2020,7,17124,15008
1591,7/03/2020,8,17121,15293
1592,7/03/2020,9,16841,14887
1593,7/03/2020,10,16527,14652
1594,7/03/2020,11,16671,14641
1595,7/03/2020,12,16704,14557
1596,7/03/2020,13,16704,14413
1597,7/03/2020,14,16263,14118
1598,7/03/2020,15,16184,13981
1599,7/03/2020,16,16269,14145
1600,7/03/2020,17,16781,14814
1601,7/03/2020,18,17428,15598
1602,7/03/2020,19,18290,16413
1603,7/03/2020,20,18382,16485
1604,7/03/2020,21,18127,16032
1605,7/03/2020,22,17725,15571
1606,7/03/2020,23,17078,14836
1607,7/03/2020,24,16552,13981
1608,8/03/2020,1,16231,13450
1609,8/03/2020,2,16569,13011
1610,8/03/2020,3,16310,12735
1611,8/03/2020,4,16014,12598
1612,8/03/2020,5,16065,12833
1613,8/03/2020,6,15737,12962
1614,8/03/2020,7,16029,13443
1615,8/03/2020,8,16307,13819
1616,8/03/2020,9,16758,13758
1617,8/03/2020,10,16748,13563
1618,8/03/2020,11,16520,13196
1619,8/03/2020,12,16766,13183
1620,8/03/2020,13,17018,12993
1621,8/03/2020,14,16984,12756
1622,8/03/2020,15,16905,12744
1623,8/03/2020,16,17428,13495
1624,8/03/2020,17,18123,14468
1625,8/03/2020,18,18379,15082
1626,8/03/2020,19,18923,15809
1627,8/03/2020,20,18482,15867
1628,8/03/2020,21,18128,15287
1629,8/03/2020,22,17572,14469
1630,8/03/2020,23,17272,13626
1631,8/03/2020,24,16677,12940
1632,9/03/2020,1,16373,12506
1633,9/03/2020,2,15906,12235
1634,9/03/2020,3,15810,12137
1635,9/03/2020,4,15886,12234
1636,9/03/2020,5,16336,12794
1637,9/03/2020,6,16809,13984
1638,9/03/2020,7,18073,15560
1639,9/03/2020,8,18229,15755
1640,9/03/2020,9,17662,14994
1641,9/03/2020,10,17392,14507
1642,9/03/2020,11,17372,14130
1643,9/03/2020,12,17553,14126
1644,9/03/2020,13,17573,14244
1645,9/03/2020,14,17485,14439
1646,9/03/2020,15,17605,14677
1647,9/03/2020,16,17878,15185
1648,9/03/2020,17,18586,15898
1649,9/03/2020,18,18632,16020
1650,9/03/2020,19,18827,16455
1651,9/03/2020,20,18687,16357
1652,9/03/2020,21,18662,15745
1653,9/03/2020,22,18168,14792
1654,9/03/2020,23,17393,13785
1655,9/03/2020,24,17053,12965
1656,10/03/2020,1,16769,12491
1657,10/03/2020,2,16254,12136
1658,10/03/2020,3,16263,12164
1659,10/03/2020,4,16281,12218
1660,10/03/2020,5,16513,12780
1661,10/03/2020,6,16827,13873
1662,10/03/2020,7,18199,15390
1663,10/03/2020,8,18733,16026
1664,10/03/2020,9,18215,15908
1665,10/03/2020,10,18094,15884
1666,10/03/2020,11,18238,15838
1667,10/03/2020,12,18322,15832
1668,10/03/2020,13,18459,15807
1669,10/03/2020,14,18268,15540
1670,10/03/2020,15,17846,15563
1671,10/03/2020,16,18131,15863
1672,10/03/2020,17,18196,15904
1673,10/03/2020,18,17934,16051
1674,10/03/2020,19,18422,16835
1675,10/03/2020,20,18732,17179
1676,10/03/2020,21,18224,16744
1677,10/03/2020,22,17131,15843
1678,10/03/2020,23,15980,14781
1679,10/03/2020,24,15651,13993
1680,11/03/2020,1,15509,13652
1681,11/03/2020,2,15061,13470
1682,11/03/2020,3,14888,13414
1683,11/03/2020,4,14994,13573
1684,11/03/2020,5,15361,14128
1685,11/03/2020,6,16969,15362
1686,11/03/2020,7,18518,16980
1687,11/03/2020,8,18312,17051
1688,11/03/2020,9,17982,16583
1689,11/03/2020,10,18028,16609
1690,11/03/2020,11,17787,16306
1691,11/03/2020,12,17610,16136
1692,11/03/2020,13,17283,15933
1693,11/03/2020,14,16823,15369
1694,11/03/2020,15,17165,15804
1695,11/03/2020,16,18003,16451
1696,11/03/2020,17,18374,16998
1697,11/03/2020,18,18427,17030
1698,11/03/2020,19,18891,17460
1699,11/03/2020,20,19085,17632
1700,11/03/2020,21,18867,16976
1701,11/03/2020,22,17706,15880
1702,11/03/2020,23,16139,14846
1703,11/03/2020,24,15401,14039
1704,12/03/2020,1,15026,13631
1705,12/03/2020,2,15252,13449
1706,12/03/2020,3,15092,13395
1707,12/03/2020,4,14984,13384
1708,12/03/2020,5,15094,13835
1709,12/03/2020,6,16600,15051
1710,12/03/2020,7,18648,16754
1711,12/03/2020,8,18695,16985
1712,12/03/2020,9,18172,16477
1713,12/03/2020,10,17897,16129
1714,12/03/2020,11,17580,15707
1715,12/03/2020,12,17457,15251
1716,12/03/2020,13,17520,15053
1717,12/03/2020,14,17603,14942
1718,12/03/2020,15,17453,15150
1719,12/03/2020,16,17888,15733
1720,12/03/2020,17,18474,16218
1721,12/03/2020,18,18755,16374
1722,12/03/2020,19,19191,16972
1723,12/03/2020,20,18673,16885
1724,12/03/2020,21,18187,16364
1725,12/03/2020,22,17426,15386
1726,12/03/2020,23,17077,14376
1727,12/03/2020,24,16928,13689
1728,13/03/2020,1,16421,13078
1729,13/03/2020,2,16092,12697
1730,13/03/2020,3,16345,12516
1731,13/03/2020,4,16562,12547
1732,13/03/2020,5,16734,13036
1733,13/03/2020,6,17167,14141
1734,13/03/2020,7,18449,15673
1735,13/03/2020,8,18973,16193
1736,13/03/2020,9,18925,16029
1737,13/03/2020,10,18698,15772
1738,13/03/2020,11,18808,15565
1739,13/03/2020,12,18732,15396
1740,13/03/2020,13,18381,15235
1741,13/03/2020,14,18480,15245
1742,13/03/2020,15,18394,15399
1743,13/03/2020,16,17962,15501
1744,13/03/2020,17,18270,15820
1745,13/03/2020,18,18810,16279
1746,13/03/2020,19,19121,16835
1747,13/03/2020,20,19260,16944
1748,13/03/2020,21,18721,16330
1749,13/03/2020,22,18073,15418
1750,13/03/2020,23,17469,14386
1751,13/03/2020,24,17024,13605
1752,14/03/2020,1,17025,13294
1753,14/03/2020,2,16787,13084
1754,14/03/2020,3,16696,12959
1755,14/03/2020,4,16368,13031
1756,14/03/2020,5,16287,13274
1757,14/03/2020,6,16269,13723
1758,14/03/2020,7,16503,14269
1759,14/03/2020,8,16594,14713
1760,14/03/2020,9,17101,15105
1761,14/03/2020,10,17551,15407
1762,14/03/2020,11,17260,15199
1763,14/03/2020,12,17220,15140
1764,14/03/2020,13,17067,14997
1765,14/03/2020,14,16952,14851
1766,14/03/2020,15,16821,14721
1767,14/03/2020,16,17095,15075
1768,14/03/2020,17,17951,15697
1769,14/03/2020,18,18297,16097
1770,14/03/2020,19,18738,16345
1771,14/03/2020,20,18063,16024
1772,14/03/2020,21,17904,15615
1773,14/03/2020,22,17293,15007
1774,14/03/2020,23,16649,14280
1775,14/03/2020,24,16103,13605
1776,15/03/2020,1,15630,13175
1777,15/03/2020,2,15126,12905
1778,15/03/2020,3,15237,12787
1779,15/03/2020,4,15324,12776
1780,15/03/2020,5,15549,13014
1781,15/03/2020,6,15683,13450
1782,15/03/2020,7,16137,13967
1783,15/03/2020,8,16398,14214
1784,15/03/2020,9,16328,13959
1785,15/03/2020,10,15994,13722
1786,15/03/2020,11,15835,13766
1787,15/03/2020,12,15947,13855
1788,15/03/2020,13,16000,13724
1789,15/03/2020,14,15962,13496
1790,15/03/2020,15,16036,13433
1791,15/03/2020,16,15859,13782
1792,15/03/2020,17,16630,14625
1793,15/03/2020,18,17351,15346
1794,15/03/2020,19,18445,16190
1795,15/03/2020,20,18638,16492
1796,15/03/2020,21,18224,16052
1797,15/03/2020,22,17405,15374
1798,15/03/2020,23,16610,14627
1799,15/03/2020,24,16273,14077
1800,16/03/2020,1,16241,13741
1801,16/03/2020,2,16081,13483
1802,16/03/2020,3,15992,13471
1803,16/03/2020,4,16143,13565
1804,16/03/2020,5,16734,14059
1805,16/03/2020,6,17460,15044
1806,16/03/2020,7,18237,16048
1807,16/03/2020,8,18276,16239
1808,16/03/2020,9,18266,15891
1809,16/03/2020,10,18076,15693
1810,16/03/2020,11,18168,15514
1811,16/03/2020,12,16935,15348
1812,16/03/2020,13,17086,15110
1813,16/03/2020,14,17304,15022
1814,16/03/2020,15,17488,15127
1815,16/03/2020,16,17778,15554
1816,16/03/2020,17,18606,16443
1817,16/03/2020,18,19100,16860
1818,16/03/2020,19,19530,17400
1819,16/03/2020,20,19547,17351
1820,16/03/2020,21,18650,16597
1821,16/03/2020,22,17775,15733
1822,16/03/2020,23,16901,14841
1823,16/03/2020,24,16286,14171
1824,17/03/2020,1,16107,13654
1825,17/03/2020,2,15640,13324
1826,17/03/2020,3,15803,13202
1827,17/03/2020,4,15836,13298
1828,17/03/2020,5,16427,13736
1829,17/03/2020,6,17074,14564
1830,17/03/2020,7,17975,15571
1831,17/03/2020,8,18530,16204
1832,17/03/2020,9,18885,16530
1833,17/03/2020,10,18997,16648
1834,17/03/2020,11,18949,16458
1835,17/03/2020,12,18761,16277
1836,17/03/2020,13,18532,16008
1837,17/03/2020,14,18263,15542
1838,17/03/2020,15,17699,14998
1839,17/03/2020,16,17424,15104
1840,17/03/2020,17,17970,15470
1841,17/03/2020,18,18115,15813
1842,17/03/2020,19,19169,16544
1843,17/03/2020,20,19470,16912
1844,17/03/2020,21,18596,16463
1845,17/03/2020,22,17638,15658
1846,17/03/2020,23,17008,14970
1847,17/03/2020,24,16092,14239
1848,18/03/2020,1,15587,13773
1849,18/03/2020,2,15301,13630
1850,18/03/2020,3,15381,13554
1851,18/03/2020,4,15193,13541
1852,18/03/2020,5,16196,13989
1853,18/03/2020,6,17065,14952
1854,18/03/2020,7,17945,15781
1855,18/03/2020,8,17807,15879
1856,18/03/2020,9,18007,15819
1857,18/03/2020,10,17603,15384
1858,18/03/2020,11,17763,15392
1859,18/03/2020,12,18000,15702
1860,18/03/2020,13,17681,15612
1861,18/03/2020,14,17769,15712
1862,18/03/2020,15,17856,15765
1863,18/03/2020,16,18090,16025
1864,18/03/2020,17,18444,16530
1865,18/03/2020,18,18660,16707
1866,18/03/2020,19,18967,17059
1867,18/03/2020,20,18993,16926
1868,18/03/2020,21,18256,16221
1869,18/03/2020,22,17383,15317
1870,18/03/2020,23,16447,14538
1871,18/03/2020,24,15863,13824
1872,19/03/2020,1,15550,13464
1873,19/03/2020,2,15333,13249
1874,19/03/2020,3,15363,13121
1875,19/03/2020,4,15477,13187
1876,19/03/2020,5,16152,13578
1877,19/03/2020,6,17032,14566
1878,19/03/2020,7,17798,15603
1879,19/03/2020,8,18055,15955
1880,19/03/2020,9,17994,16138
1881,19/03/2020,10,17826,16109
1882,19/03/2020,11,18064,16167
1883,19/03/2020,12,17875,16168
1884,19/03/2020,13,17701,16033
1885,19/03/2020,14,17601,15947
1886,19/03/2020,15,17739,15845
1887,19/03/2020,16,18036,16192
1888,19/03/2020,17,18285,16588
1889,19/03/2020,18,18457,16437
1890,19/03/2020,19,18626,16594
1891,19/03/2020,20,18583,16364
1892,19/03/2020,21,18048,15636
1893,19/03/2020,22,17527,14780
1894,19/03/2020,23,16916,13853
1895,19/03/2020,24,16855,13208
1896,20/03/2020,1,16642,12692
1897,20/03/2020,2,16413,12230
1898,20/03/2020,3,16289,12101
1899,20/03/2020,4,16323,12131
1900,20/03/2020,5,16451,12475
1901,20/03/2020,6,16640,13312
1902,20/03/2020,7,17439,14218
1903,20/03/2020,8,17798,14869
1904,20/03/2020,9,17800,15160
1905,20/03/2020,10,17942,15246
1906,20/03/2020,11,17642,15203
1907,20/03/2020,12,18043,15413
1908,20/03/2020,13,17540,14931
1909,20/03/2020,14,17467,14598
1910,20/03/2020,15,17273,14421
1911,20/03/2020,16,17854,14843
1912,20/03/2020,17,18790,15537
1913,20/03/2020,18,19028,15876
1914,20/03/2020,19,19281,16442
1915,20/03/2020,20,19202,16542
1916,20/03/2020,21,18764,15992
1917,20/03/2020,22,18471,15155
1918,20/03/2020,23,17524,14285
1919,20/03/2020,24,16837,13719
1920,21/03/2020,1,16440,13424
1921,21/03/2020,2,16361,13180
1922,21/03/2020,3,16360,13192
1923,21/03/2020,4,15905,13270
1924,21/03/2020,5,15880,13465
1925,21/03/2020,6,16649,14082
1926,21/03/2020,7,16669,14685
1927,21/03/2020,8,16593,14898
1928,21/03/2020,9,16486,14705
1929,21/03/2020,10,16340,14548
1930,21/03/2020,11,16325,14493
1931,21/03/2020,12,16325,14479
1932,21/03/2020,13,16357,14215
1933,21/03/2020,14,15783,13919
1934,21/03/2020,15,15928,13792
1935,21/03/2020,16,16119,14074
1936,21/03/2020,17,17056,15047
1937,21/03/2020,18,17514,15785
1938,21/03/2020,19,18286,16374
1939,21/03/2020,20,18117,16474
1940,21/03/2020,21,17674,15969
1941,21/03/2020,22,16523,15282
1942,21/03/2020,23,16044,14627
1943,21/03/2020,24,15695,14090
1944,22/03/2020,1,15278,13645
1945,22/03/2020,2,14994,13443
1946,22/03/2020,3,14944,13354
1947,22/03/2020,4,14960,13397
1948,22/03/2020,5,15164,13537
1949,22/03/2020,6,15454,13905
1950,22/03/2020,7,15830,14243
1951,22/03/2020,8,15801,14114
1952,22/03/2020,9,15877,13911
1953,22/03/2020,10,15891,13718
1954,22/03/2020,11,16149,13785
1955,22/03/2020,12,16440,14102
1956,22/03/2020,13,16514,13926
1957,22/03/2020,14,16204,13540
1958,22/03/2020,15,16071,13626
1959,22/03/2020,16,16808,14393
1960,22/03/2020,17,17596,15305
1961,22/03/2020,18,18021,15824
1962,22/03/2020,19,18444,16373
1963,22/03/2020,20,18204,16434
1964,22/03/2020,21,17524,15599
1965,22/03/2020,22,16626,14790
1966,22/03/2020,23,16170,14060
1967,22/03/2020,24,15663,13477
1968,23/03/2020,1,15737,13178
1969,23/03/2020,2,15211,13018
1970,23/03/2020,3,15376,13201
1971,23/03/2020,4,15453,13345
1972,23/03/2020,5,15698,13701
1973,23/03/2020,6,16254,14596
1974,23/03/2020,7,17808,15573
1975,23/03/2020,8,18302,16133
1976,23/03/2020,9,18844,16512
1977,23/03/2020,10,19029,16716
1978,23/03/2020,11,18954,16897
1979,23/03/2020,12,18896,16935
1980,23/03/2020,13,18863,16734
1981,23/03/2020,14,18663,16419
1982,23/03/2020,15,18564,16147
1983,23/03/2020,16,18965,16497
1984,23/03/2020,17,19424,16975
1985,23/03/2020,18,19361,16851
1986,23/03/2020,19,19376,16950
1987,23/03/2020,20,19027,16712
1988,23/03/2020,21,18036,16087
1989,23/03/2020,22,17230,15190
1990,23/03/2020,23,16035,14266
1991,23/03/2020,24,15426,13544
1992,24/03/2020,1,14693,13100
1993,24/03/2020,2,14493,12846
1994,24/03/2020,3,14767,12737
1995,24/03/2020,4,14767,12834
1996,24/03/2020,5,15405,13332
1997,24/03/2020,6,16372,14223
1998,24/03/2020,7,17288,15157
1999,24/03/2020,8,17682,15476
2000,24/03/2020,9,17461,15639
2001,24/03/2020,10,17715,15554
2002,24/03/2020,11,17492,15353
2003,24/03/2020,12,17421,15274
2004,24/03/2020,13,17191,15051
2005,24/03/2020,14,16682,14852
2006,24/03/2020,15,16225,14536
2007,24/03/2020,16,16370,14674
2008,24/03/2020,17,17384,15295
2009,24/03/2020,18,17724,15570
2010,24/03/2020,19,17931,15921
2011,24/03/2020,20,17999,16047
2012,24/03/2020,21,17456,15398
2013,24/03/2020,22,16637,14515
2014,24/03/2020,23,15874,13649
2015,24/03/2020,24,15673,13132
2016,25/03/2020,1,15120,12635
2017,25/03/2020,2,14868,12466
2018,25/03/2020,3,14882,12579
2019,25/03/2020,4,15099,12671
2020,25/03/2020,5,15431,13072
2021,25/03/2020,6,16090,13793
2022,25/03/2020,7,16741,14631
2023,25/03/2020,8,17029,14815
2024,25/03/2020,9,16892,14724
2025,25/03/2020,10,16803,14600
2026,25/03/2020,11,16916,14642
2027,25/03/2020,12,16877,14621
2028,25/03/2020,13,16896,14535
2029,25/03/2020,14,16463,14402
2030,25/03/2020,15,16343,14313
2031,25/03/2020,16,16486,14431
2032,25/03/2020,17,17195,14972
2033,25/03/2020,18,17506,15152
2034,25/03/2020,19,17791,15507
2035,25/03/2020,20,17977,15869
2036,25/03/2020,21,16896,15077
2037,25/03/2020,22,16006,14134
2038,25/03/2020,23,15265,13335
2039,25/03/2020,24,15280,12699
2040,26/03/2020,1,15432,12317
2041,26/03/2020,2,15212,12136
2042,26/03/2020,3,15261,12024
2043,26/03/2020,4,15368,12031
2044,26/03/2020,5,15372,12276
2045,26/03/2020,6,15755,13087
2046,26/03/2020,7,16668,13907
2047,26/03/2020,8,17144,14171
2048,26/03/2020,9,17013,14071
2049,26/03/2020,10,17132,13990
2050,26/03/2020,11,17477,14262
2051,26/03/2020,12,17916,14721
2052,26/03/2020,13,17491,14785
2053,26/03/2020,14,17170,14699
2054,26/03/2020,15,17278,14999
2055,26/03/2020,16,17742,15533
2056,26/03/2020,17,18351,16051
2057,26/03/2020,18,17722,15658
2058,26/03/2020,19,17659,15689
2059,26/03/2020,20,17398,15667
2060,26/03/2020,21,17030,15080
2061,26/03/2020,22,16540,14301
2062,26/03/2020,23,15555,13535
2063,26/03/2020,24,15196,13095
2064,27/03/2020,1,15005,12737
2065,27/03/2020,2,14446,12348
2066,27/03/2020,3,14631,12336
2067,27/03/2020,4,14525,12458
2068,27/03/2020,5,15248,13018
2069,27/03/2020,6,15875,13807
2070,27/03/2020,7,16574,14787
2071,27/03/2020,8,16924,15090
2072,27/03/2020,9,17127,15121
2073,27/03/2020,10,16854,14908
2074,27/03/2020,11,16235,14404
2075,27/03/2020,12,15895,14013
2076,27/03/2020,13,15243,13538
2077,27/03/2020,14,14946,13283
2078,27/03/2020,15,14580,12960
2079,27/03/2020,16,14798,13176
2080,27/03/2020,17,15736,14058
2081,27/03/2020,18,16390,14596
2082,27/03/2020,19,16802,15122
2083,27/03/2020,20,16745,15254
2084,27/03/2020,21,16245,14770
2085,27/03/2020,22,15703,13987
2086,27/03/2020,23,15433,13171
2087,27/03/2020,24,14746,12476
2088,28/03/2020,1,14813,12077
2089,28/03/2020,2,14817,11891
2090,28/03/2020,3,15000,11793
2091,28/03/2020,4,15081,11766
2092,28/03/2020,5,15165,11928
2093,28/03/2020,6,15115,12317
2094,28/03/2020,7,15394,12825
2095,28/03/2020,8,15454,13126
2096,28/03/2020,9,16217,13562
2097,28/03/2020,10,16897,14168
2098,28/03/2020,11,17261,14627
2099,28/03/2020,12,17725,14738
2100,28/03/2020,13,17066,14315
2101,28/03/2020,14,16722,14056
2102,28/03/2020,15,16630,14073
2103,28/03/2020,16,16890,14525
2104,28/03/2020,17,17662,15274
2105,28/03/2020,18,17043,15116
2106,28/03/2020,19,16995,15109
2107,28/03/2020,20,16225,14625
2108,28/03/2020,21,16124,13963
2109,28/03/2020,22,15396,13266
2110,28/03/2020,23,15250,12515
2111,28/03/2020,24,15245,11910
2112,29/03/2020,1,15350,11449
2113,29/03/2020,2,15357,11232
2114,29/03/2020,3,15260,11152
2115,29/03/2020,4,15300,11132
2116,29/03/2020,5,15538,11325
2117,29/03/2020,6,15792,11754
2118,29/03/2020,7,16195,12226
2119,29/03/2020,8,16908,12811
2120,29/03/2020,9,16909,13330
2121,29/03/2020,10,17118,13856
2122,29/03/2020,11,17238,14151
2123,29/03/2020,12,17486,14269
2124,29/03/2020,13,17352,14095
2125,29/03/2020,14,17438,13806
2126,29/03/2020,15,17368,13579
2127,29/03/2020,16,17411,13898
2128,29/03/2020,17,17649,14592
2129,29/03/2020,18,17438,14567
2130,29/03/2020,19,17212,14464
2131,29/03/2020,20,17591,14371
2132,29/03/2020,21,17264,13720
2133,29/03/2020,22,17009,13057
2134,29/03/2020,23,16259,12226
2135,29/03/2020,24,15892,11798
2136,30/03/2020,1,15534,11391
2137,30/03/2020,2,15090,11120
2138,30/03/2020,3,14999,11124
2139,30/03/2020,4,15160,11254
2140,30/03/2020,5,15563,11600
2141,30/03/2020,6,15928,12485
2142,30/03/2020,7,16463,13526
2143,30/03/2020,8,16945,14137
2144,30/03/2020,9,17009,14418
2145,30/03/2020,10,17127,14590
2146,30/03/2020,11,17257,14670
2147,30/03/2020,12,17576,14990
2148,30/03/2020,13,17805,15045
2149,30/03/2020,14,17685,15010
2150,30/03/2020,15,17581,14951
2151,30/03/2020,16,17631,15268
2152,30/03/2020,17,18072,15822
2153,30/03/2020,18,18077,15893
2154,30/03/2020,19,18110,15998
2155,30/03/2020,20,18117,15772
2156,30/03/2020,21,17492,15081
2157,30/03/2020,22,16314,14225
2158,30/03/2020,23,15759,13400
2159,30/03/2020,24,15267,12809
2160,31/03/2020,1,14994,12409
2161,31/03/2020,2,14673,12158
2162,31/03/2020,3,14471,12073
2163,31/03/2020,4,14756,12152
2164,31/03/2020,5,14934,12529
2165,31/03/2020,6,15625,13316
2166,31/03/2020,7,16439,14162
2167,31/03/2020,8,16857,14574
2168,31/03/2020,9,16907,14801
2169,31/03/2020,10,16925,14852
2170,31/03/2020,11,17100,15028
2171,31/03/2020,12,17120,15126
2172,31/03/2020,13,16872,14902
2173,31/03/2020,14,16438,14584
2174,31/03/2020,15,16284,14412
2175,31/03/2020,16,16510,14660
2176,31/03/2020,17,17115,15202
2177,31/03/2020,18,17302,15351
2178,31/03/2020,19,17491,15608
2179,31/03/2020,20,17356,15515
2180,31/03/2020,21,16865,14856
2181,31/03/2020,22,15986,14061
2182,31/03/2020,23,15508,13236
2183,31/03/2020,24,15303,12706
2184,1/04/2020,1,15264,12346
2185,1/04/2020,2,14919,12113
2186,1/04/2020,3,14905,12052
2187,1/04/2020,4,15108,12220
2188,1/04/2020,5,15239,12722
2189,1/04/2020,6,15881,13532
2190,1/04/2020,7,16043,14073
2191,1/04/2020,8,15943,14036
2192,1/04/2020,9,15889,13719
2193,1/04/2020,10,15823,13406
2194,1/04/2020,11,15824,13233
2195,1/04/2020,12,15831,13227
2196,1/04/2020,13,15837,13163
2197,1/04/2020,14,15630,13034
2198,1/04/2020,15,15681,13143
2199,1/04/2020,16,15667,13384
2200,1/04/2020,17,16203,14143
2201,1/04/2020,18,16464,14465
2202,1/04/2020,19,17010,14913
2203,1/04/2020,20,17108,15186
2204,1/04/2020,21,16641,14693
2205,1/04/2020,22,15928,13826
2206,1/04/2020,23,15275,13066
2207,1/04/2020,24,15010,12491
2208,2/04/2020,1,14759,12078
2209,2/04/2020,2,14826,11767
2210,2/04/2020,3,15068,11676
2211,2/04/2020,4,15076,11768
2212,2/04/2020,5,15031,12237
2213,2/04/2020,6,15725,13022
2214,2/04/2020,7,16136,13616
2215,2/04/2020,8,16073,13437
2216,2/04/2020,9,16241,13258
2217,2/04/2020,10,15594,12833
2218,2/04/2020,11,15412,12667
2219,2/04/2020,12,15625,12684
2220,2/04/2020,13,15646,12595
2221,2/04/2020,14,15448,12411
2222,2/04/2020,15,15734,12327
2223,2/04/2020,16,15779,12631
2224,2/04/2020,17,16356,13340
2225,2/04/2020,18,16908,13893
2226,2/04/2020,19,17622,14611
2227,2/04/2020,20,17418,14893
2228,2/04/2020,21,17301,14521
2229,2/04/2020,22,17104,13756
2230,2/04/2020,23,15986,12786
2231,2/04/2020,24,15515,12184
2232,3/04/2020,1,15467,11839
2233,3/04/2020,2,15383,11671
2234,3/04/2020,3,15518,11577
2235,3/04/2020,4,15483,11675
2236,3/04/2020,5,15327,12102
2237,3/04/2020,6,15629,12902
2238,3/04/2020,7,16402,13567
2239,3/04/2020,8,16667,13845
2240,3/04/2020,9,16967,13808
2241,3/04/2020,10,16934,13613
2242,3/04/2020,11,16374,13450
2243,3/04/2020,12,16562,13621
2244,3/04/2020,13,16562,13518
2245,3/04/2020,14,16337,13421
2246,3/04/2020,15,16083,13384
2247,3/04/2020,16,16620,13759
2248,3/04/2020,17,17143,14266
2249,3/04/2020,18,17016,14426
2250,3/04/2020,19,17189,14667
2251,3/04/2020,20,16811,14758
2252,3/04/2020,21,16392,14202
2253,3/04/2020,22,15894,13489
2254,3/04/2020,23,15127,12656
2255,3/04/2020,24,15150,12111
2256,4/04/2020,1,14866,11746
2257,4/04/2020,2,14618,11564
2258,4/04/2020,3,14435,11367
2259,4/04/2020,4,14330,11379
2260,4/04/2020,5,14678,11603
2261,4/04/2020,6,14922,12008
2262,4/04/2020,7,14848,12312
2263,4/04/2020,8,14838,12488
2264,4/04/2020,9,15096,12557
2265,4/04/2020,10,15095,12598
2266,4/04/2020,11,15074,12541
2267,4/04/2020,12,15573,12747
2268,4/04/2020,13,15528,12581
2269,4/04/2020,14,15217,12491
2270,4/04/2020,15,15358,12745
2271,4/04/2020,16,15539,13023
2272,4/04/2020,17,16247,13784
2273,4/04/2020,18,16097,13997
2274,4/04/2020,19,16159,14126
2275,4/04/2020,20,16135,14189
2276,4/04/2020,21,15741,13494
2277,4/04/2020,22,15293,13004
2278,4/04/2020,23,14886,12137
2279,4/04/2020,24,14648,11531
2280,5/04/2020,1,14215,11084
2281,5/04/2020,2,14363,10847
2282,5/04/2020,3,14448,10711
2283,5/04/2020,4,14671,10768
2284,5/04/2020,5,14885,10988
2285,5/04/2020,6,14999,11318
2286,5/04/2020,7,15297,11749
2287,5/04/2020,8,15517,12225
2288,5/04/2020,9,15616,12532
2289,5/04/2020,10,15457,12744
2290,5/04/2020,11,15562,12897
2291,5/04/2020,12,15524,12960
2292,5/04/2020,13,15281,12696
2293,5/04/2020,14,14967,12438
2294,5/04/2020,15,15119,12288
2295,5/04/2020,16,15093,12462
2296,5/04/2020,17,15598,13042
2297,5/04/2020,18,15923,13457
2298,5/04/2020,19,16180,13917
2299,5/04/2020,20,16290,14240
2300,5/04/2020,21,15953,13861
2301,5/04/2020,22,15551,13288
2302,5/04/2020,23,14927,12542
2303,5/04/2020,24,14781,12066
2304,6/04/2020,1,14445,11688
2305,6/04/2020,2,14385,11552
2306,6/04/2020,3,14221,11442
2307,6/04/2020,4,14357,11641
2308,6/04/2020,5,14710,12111
2309,6/04/2020,6,15656,13113
2310,6/04/2020,7,16220,13759
2311,6/04/2020,8,16414,13858
2312,6/04/2020,9,15871,13382
2313,6/04/2020,10,15876,12942
2314,6/04/2020,11,15661,12857
2315,6/04/2020,12,15863,13041
2316,6/04/2020,13,15972,12894
2317,6/04/2020,14,15759,12584
2318,6/04/2020,15,15824,12568
2319,6/04/2020,16,15772,13039
2320,6/04/2020,17,16340,13897
2321,6/04/2020,18,16819,14376
2322,6/04/2020,19,17016,14801
2323,6/04/2020,20,17032,14841
2324,6/04/2020,21,16316,14121
2325,6/04/2020,22,15780,13379
2326,6/04/2020,23,15095,12598
2327,6/04/2020,24,14689,11979
2328,7/04/2020,1,14526,11702
