,ror cf
764,0.763224181
765,0.773299748
766,0.69577386
767,0.687937308
768,0.660509376
769,0.623285754
770,0.624685139
771,0.61656871
772,0.614609572
773,0.614889449
774,0.65211307
775,0.662839541
776,0.677690583
777,0.707959641
778,0.726457399
779,0.811098655
780,0.71815577
781,0.688981506
782,0.723104975
783,0.699400886
784,0.711643657
785,0.821047148
786,0.7359375
787,0.696670135
788,0.678459938
789,0.677419355
790,0.668314256
791,0.655046826
792,0.659804698
793,0.665610979
794,0.663235682
795,0.655054104
796,0.678279229
797,0.665610979
798,0.691779011
799,0.748612213
800,0.707940781
801,0.713069742
802,0.708951126
803,0.708401977
804,0.694947831
805,0.694124108
806,0.711147721
807,0.766611752
808,0.748764415
809,0.738402416
810,0.799066703
811,0.754592816
812,0.753221826
813,0.755689608
814,0.745544283
815,0.789690156
816,0.744721689
817,0.690430491
818,0.672881821
819,0.675075404
820,0.674801206
821,0.664655882
822,0.707384024
823,0.741625481
824,0.714600551
825,0.787327824
826,0.783798728
827,0.722084367
828,0.734422598
829,0.725837718
830,0.716422044
831,0.718637497
832,0.722038567
833,0.725068871
834,0.719361058
835,0.72352132
836,0.727272727
837,0.714638835
838,0.709145839
839,0.69266685
840,0.687448503
841,0.688547102
842,0.685800604
843,0.693681319
844,0.709065934
845,0.706968934
846,0.796192609
847,0.815229563
848,0.79456278
849,0.738422678
850,0.781364019
851,0.802694359
852,0.818411451
853,0.718776312
854,0.747684536
855,0.745719899
856,0.814201516
857,0.846520763
858,0.837542088
859,0.831558296
860,0.811939462
861,0.804372197
862,0.752802691
863,0.822869955
864,0.781731577
865,0.717287756
866,0.689548893
867,0.706080134
868,0.692630989
869,0.708041468
870,0.736266816
871,0.789458929
872,0.792590514
873,0.807465619
874,0.783153102
875,0.822709163
876,0.822902049
877,0.822621386
878,0.792837466
879,0.805785124
880,0.789676002
881,0.816796009
882,0.812967581
883,0.823089701
884,0.791032383
885,0.709382784
886,0.719010487
887,0.673568163
888,0.700457112
889,0.699381554
890,0.681097069
891,0.690508201
892,0.663081474
893,0.681903738
894,0.68082818
895,0.686591276
896,0.706915181
897,0.705294435
898,0.711284675
899,0.706436844
900,0.716132507
901,0.693778616
902,0.703284868
903,0.711362412
904,0.713594841
905,0.760737813
906,0.811155378
907,0.741301461
908,0.714547357
909,0.752615063
910,0.765620949
911,0.696396163
912,0.700544465
913,0.677469536
914,0.652061187
915,0.650764843
916,0.676950998
917,0.667790456
918,0.694163424
919,0.74603999
920,0.787068294
921,0.819527395
922,0.78576993
923,0.792781096
924,0.78758764
925,0.786808621
926,0.783173202
927,0.725525837
928,0.71747598
929,0.78353738
930,0.803645833
931,0.7357459
932,0.688426528
933,0.792977893
934,0.764629389
935,0.707152146
936,0.756306892
937,0.686085826
938,0.719375813
939,0.687126138
940,0.732639792
941,0.738881664
942,0.742441209
943,0.743970836
944,0.770891755
945,0.773415592
946,0.775659002
947,0.789680314
948,0.740044868
949,0.679472799
950,0.664890634
951,0.693774537
952,0.693774537
953,0.682366134
954,0.679562658
955,0.691122935
956,0.667693169
957,0.667413214
958,0.662653975
959,0.665733483
960,0.6484375
961,0.644252232
962,0.661830357
